category,sound_id,label,file_name,current_icon_sf_symbol_constant,shared_icon_usage_count,reason
animals,birds,Birds,birds.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,blackbird,Blackbird,blackbird.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,chickens,Chickens,chickens.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,crows,Crows,crows.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,ducks,Ducks,ducks.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,macaws,Macaws,macaws.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,owl,Owl,owl.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,penguin,Penguin,penguin.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,peregrine-falcon,Peregrine Falcon,peregrine-falcon.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,pipit-bird,Pipit Bird,pipit-bird.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,seagulls,Seagulls,seagulls.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,woodpecker,Woodpecker,woodpecker.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,wren-bird,Wren Bird,wren-bird.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,cat-meow,Cat Meow,cat-meow.mp3,catFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,cat-purring,Cat Purring,cat-purring.mp3,catFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,cows,Cows,cows.mp3,hareFill,3,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,horse-gallop,Horse Gallop,horse-gallop.mp3,hareFill,3,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,sheep,Sheep,sheep.mp3,hareFill,3,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,crickets,Crickets,crickets.mp3,leafFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,elephant,Elephant,elephant.mp3,pawprintFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,lion,Lion,lion.mp3,pawprintFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,mandrill-baboon,Mandrill Baboon,mandrill-baboon.mp3,pawprintFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
animals,wolf,Wolf,wolf.mp3,pawprintFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
binaural,binaural-alpha,Alpha,binaural-alpha.wav,waveformCircleFill,5,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
binaural,binaural-beta,Beta,binaural-beta.wav,waveformCircleFill,5,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
binaural,binaural-delta,Delta,binaural-delta.wav,waveformCircleFill,5,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
binaural,binaural-gamma,Gamma,binaural-gamma.wav,waveformCircleFill,5,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
binaural,binaural-theta,Theta,binaural-theta.wav,waveformCircleFill,5,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
military,fighter-jet,Fighter Jet,fighter-jet.mp3,airplane,3,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
military,air-defense-alarm,Air Defense Alarm,air-defense-alarm.mp3,shieldFill,9,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
military,army-drill,Army Drill,army-drill.mp3,shieldFill,9,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
military,battlefield,Battlefield,battlefield.mp3,shieldFill,9,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
military,city-bombing,City Bombing,city-bombing.mp3,shieldFill,9,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
military,distant-battlefield,Distant Battlefield,distant-battlefield.mp3,shieldFill,9,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
military,futuristic-battle,Futuristic Battle,futuristic-battle.mp3,shieldFill,9,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
military,machine-gun,Machine Gun,machine-gun.mp3,shieldFill,9,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
military,military-march,Military March,military-march.mp3,shieldFill,9,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
military,soldiers-marching,Soldiers Marching,soldiers-marching.mp3,shieldFill,9,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
nature,droplets,Droplets,droplets.mp3,dropFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
nature,walk-on-leaves,Walk on Leaves,walk-on-leaves.mp3,leafFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
nature,wind-in-trees,Wind in Trees,wind-in-trees.mp3,leafFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
nature,jungle,Jungle,jungle.mp3,treeFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
nature,rainforest,Rainforest,rainforest.mp3,treeFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
